day_of_week,day_of_month,1_days_dater,2_days_dater,3_days_dater,4_days_dater,5_days_dater,6_days_dater,7_days_dater,8_days_dater,9_days_dater,10_days_dater,11_days_dater,12_days_dater,13_days_dater,14_days_dater,15_days_dater
1,24,-1.8237150789990144,-1.3677834105432662,-3.495445205296794,0.3039467157545135,0.3039467157545135,1.5197567684205229,4.255311994683077,4.1033386368058204,3.6474069683500727,4.255311994683077,4.255311994683077,3.6474069683500727,4.255311994683077,4.863217021016082,4.863217021016082
2,25,0.4644010198823679,-1.7027840558877965,2.1671850757701643,2.1671850757701643,3.4055799219841245,6.191950610652737,6.037154207428125,5.572753187545757,6.191950610652737,6.191950610652737,5.572753187545757,6.191950610652737,6.811148033759718,6.811148033759718,9.287925915979105
3,26,-2.1571671694347416,1.694912863264678,1.694912863264678,2.927583175974626,5.7010737461490075,5.546992895964097,5.084738589794034,5.7010737461490075,5.7010737461490075,5.084738589794034,5.7010737461490075,6.317408902503982,6.317408902503982,8.782737772308543,8.782737772308543
4,27,3.937007874015748,3.937007874015748,5.196855199618603,8.031493660033219,7.874015748031496,7.401569997231791,8.031493660033219,8.031493660033219,7.401569997231791,8.031493660033219,8.661417322834646,8.661417322834646,11.181099959245817,11.181099959245817,14.01575043445497
5,28,0.0,1.2121258359966856,3.9393916274562026,3.787878787878788,3.33332870945786,3.9393916274562026,3.9393916274562026,3.33332870945786,3.9393916274562026,4.545454545454546,4.545454545454546,6.969694657759233,6.969694657759233,9.696972008907434,8.787883411754262
1,1,1.2121258359966856,3.9393916274562026,3.787878787878788,3.33332870945786,3.9393916274562026,3.9393916274562026,3.33332870945786,3.9393916274562026,4.545454545454546,4.545454545454546,6.969694657759233,6.969694657759233,9.696972008907434,8.787883411754262,7.878783254912405
2,2,2.6946038025905676,2.544905494876999,2.095799150487516,2.6946038025905676,2.6946038025905676,2.095799150487516,2.6946038025905676,3.293408454693619,3.293408454693619,5.688615641857049,5.688615641857049,8.383230865696394,7.485029598166204,6.586816909387238,5.5389173341434805
3,3,-0.14577037368130194,-0.5830926162918273,0.0,0.0,-0.5830926162918273,0.0,0.5830926162918273,0.5830926162918273,2.9154519598925166,2.9154519598925166,5.53936317242243,4.664729808767999,3.7900853235469474,2.769681586211215,1.4577259799462583
4,4,-0.43796065950045626,0.14598317389940693,0.14598317389940693,-0.43796065950045626,0.14598317389940693,0.7299270072992701,0.7299270072992701,3.065691203096487,3.065691203096487,5.6934328844947535,4.817522703296077,3.9416013842951645,2.9197080291970803,1.605837188497947,0.14598317389940693
5,5,0.5865125275335017,0.5865125275335017,0.0,0.5865125275335017,1.1730250550670034,1.1730250550670034,3.519063978405009,3.519063978405009,6.158364758907766,5.278601561005514,4.398827176307261,3.3724386432206335,2.0527882529692554,0.5865125275335017,0.4398871923491265
1,8,0.0,-0.5830926162918273,0.0,0.5830926162918273,0.5830926162918273,2.9154519598925166,2.9154519598925166,5.53936317242243,4.664729808767999,3.7900853235469474,2.769681586211215,1.4577259799462583,0.0,-0.14577037368130194,-0.14577037368130194
2,9,-0.5830926162918273,0.0,0.5830926162918273,0.5830926162918273,2.9154519598925166,2.9154519598925166,5.53936317242243,4.664729808767999,3.7900853235469474,2.769681586211215,1.4577259799462583,0.0,-0.14577037368130194,-0.14577037368130194,-0.14577037368130194
3,10,0.5865125275335017,1.1730250550670034,1.1730250550670034,3.519063978405009,3.519063978405009,6.158364758907766,5.278601561005514,4.398827176307261,3.3724386432206335,2.0527882529692554,0.5865125275335017,0.4398871923491265,0.4398871923491265,0.4398871923491265,0.4398871923491265
4,11,0.5830926162918273,0.5830926162918273,2.9154519598925166,2.9154519598925166,5.53936317242243,4.664729808767999,3.7900853235469474,2.769681586211215,1.4577259799462583,0.0,-0.14577037368130194,-0.14577037368130194,-0.14577037368130194,-0.14577037368130194,-0.14577037368130194
5,12,0.0,2.3188383682914404,2.3188383682914404,4.927538443302763,4.057975437330163,3.1884013742640396,2.1739130434782608,0.8695630059725996,-0.5797123563462409,-0.7246376811594203,-0.7246376811594203,-0.7246376811594203,-0.7246376811594203,-0.7246376811594203,-1.7391260119451992
1,15,2.3188383682914404,2.3188383682914404,4.927538443302763,4.057975437330163,3.1884013742640396,2.1739130434782608,0.8695630059725996,-0.5797123563462409,-0.7246376811594203,-0.7246376811594203,-0.7246376811594203,-0.7246376811594203,-0.7246376811594203,-1.7391260119451992,-2.898550724637681
2,16,0.0,2.5495794485287644,1.6997232345218656,0.8498562140068987,-0.14164090124980508,-1.4164306255141872,-2.8328612510283744,-2.974502152278179,-2.974502152278179,-2.974502152278179,-2.974502152278179,-2.974502152278179,-3.965999267534883,-5.09914809054946,-6.232296913564038
3,17,2.5495794485287644,1.6997232345218656,0.8498562140068987,-0.14164090124980508,-1.4164306255141872,-2.8328612510283744,-2.974502152278179,-2.974502152278179,-2.974502152278179,-2.974502152278179,-2.974502152278179,-3.965999267534883,-5.09914809054946,-6.232296913564038,-5.38242989304907
4,18,-0.828727156734421,-1.6574648513063703,-2.6243114445236073,-3.8674074485440033,-5.248622889047215,-5.3867423255300295,-5.3867423255300295,-5.3867423255300295,-5.3867423255300295,-5.3867423255300295,-6.353588918747266,-7.458565486284846,-8.563542053822426,-7.734804359250477,-7.872934333570821
5,19,-0.8356630612997386,-1.810589131619801,-3.0640730976721846,-4.456830698642117,-4.596104333559665,-4.596104333559665,-4.596104333559665,-4.596104333559665,-4.596104333559665,-5.571030403879727,-6.685240735014562,-7.799451066149397,-6.963788004849659,-7.103072265664433,-6.128135569447146
1,22,-0.9831418233782231,-2.2471889644660936,-3.651683406687679,-3.792130707821394,-3.792130707821394,-3.792130707821394,-3.792130707821394,-3.792130707821394,-4.775272531199618,-5.8988723711537725,-7.022472211107927,-6.179766973421203,-6.320224989997135,-5.337072451176695,-5.337072451176695
